string_field_0,string_field_1,string_field_2,string_field_3,string_field_4,string_field_5,string_field_6,string_field_7,string_field_8,string_field_9,string_field_10,string_field_11,string_field_12,string_field_13,string_field_14
KEY;AÑO;PERIODO;ZONA;REGION;COMUNA_INCOIN;DIRECCION;NUMERO;LONGITUD;LATITUD;TIPO DE PROPIEDAD;PROYECTO;DESARROLLADOR;VENDE;CONSTRUYE;NOMBRE TIPOLOGIA;TIPO DE COCINA;TIPO CATEGORIA;INICIO VENTAS;FECHA ENTREGA ESTIMADA;ESTADO OBRA;ESTADO PROYECTO;STOCK INICIAL;OFERTA DEL PERIODO;OFERTA DISPONIBLE;UNIDADES VENDIDAS;TIPOLOGIA;PLAZAS;PRECIO PROMEDIO;SUPERFICIE PROMEDIO;SUP TERRAZA PROMEDIO;SUPERFICIE TERRENO;UF/M² PROMEDIO;UNIDADES/MES (P);UNIDADES/MES (A);MESES PARA AGOTAR STOCK (A);PRECIO MINIMO UF;PRECIO MAXIMO UF;MESES EN VENTA;NRO. PISOS;CANT ESTACIONAMIENTOS;PRECIO ESTACIONAMIENTO;PRECIO BODEGA;PILOTO DISPONIBLE;SALA DE VENTAS EN EL PROYECTO;DESCUENTO PROMEDIO;TIPO DE SUBSIDIO,,,,,,,,,,,,,,
4P 2019 VICUÑA MACKENNA 1194;2019;4P;CENTRO;RM;ÑUÑOA;VICUÑA MACKENNA;1194;-33,4565;-70,62927;DEPARTAMENTO;VICUÑA MACKENNA 1194;STITCHKIN;STITCHKIN;SANTOLAYA;3;INTEGRADA;DUPLEX;01-04-2019;julio-2022;OBRA GRUESA;EN VENTA;8;0;0;4;1D-1B;2;2.979,2;38,31;4,29;-;77,8;1,2;0,7;3;3136;3136;8,7;18;240;365;71;NO;SI;5%;SIN SUBSIDIO,,,,,
4P 2020 VICUÑA MACKENNA 1194;2020;4P;CENTRO;RM;ÑUÑOA;VICUÑA MACKENNA;1194;-33,4565;-70,62927;DEPARTAMENTO;VICUÑA MACKENNA 1194;STITCHKIN;STITCHKIN;SANTOLAYA;3;INTEGRADA;DUPLEX;01-04-2019;diciembre-2022;OBRA GRUESA;EN VENTA;8;0;0;0;1D-1B;2;0,0;-;4,29;-;-;0,0;0,4;0;0;0;21,0;18;240;365;71;NO;SI;10%;SIN SUBSIDIO,,,,,,,
4P 2021 VICUÑA MACKENNA 1194;2021;4P;CENTRO;RM;ÑUÑOA;VICUÑA MACKENNA;1194;-33,4565;-70,62927;DEPARTAMENTO;VICUÑA MACKENNA 1194;STITCHKIN;STITCHKIN;SANTOLAYA;3;INTEGRADA;DUPLEX;01-04-2019;junio-2022;TERMINACIONES;EN VENTA;8;0;0;0;1D-1B;2;0,0;-;4,29;-;-;0,0;0,2;0;0;0;33,0;18;240;365;71;NO;SI;4%;SIN SUBSIDIO,,,,,,,
4P 2022 VICUÑA MACKENNA 1194;2022;4P;CENTRO;RM;ÑUÑOA;VICUÑA MACKENNA;1194;-33,4565;-70,62927;DEPARTAMENTO;VICUÑA MACKENNA 1194;STITCHKIN;STITCHKIN;SANTOLAYA;3;INTEGRADA;DUPLEX;01-04-2019;junio-2022;ENTREGADO;EN VENTA;8;0;0;0;1D-1B;2;0,0;-;4,29;-;-;0,0;0,2;0;0;0;45,3;18;240;365;71;NO;NO;4%;SIN SUBSIDIO,,,,,,,
4P 2023 VICUÑA MACKENNA 1194;2023;4P;CENTRO;RM;ÑUÑOA;VICUÑA MACKENNA;1194;-33,4565;-70,62927;DEPARTAMENTO;VICUÑA MACKENNA 1194;STITCHKIN;STITCHKIN;SANTOLAYA;3;INTEGRADA;DUPLEX;01-04-2019;junio-2022;ENTREGADO;EN VENTA;8;0;0;0;1D-1B;2;0,0;-;4,29;-;-;0,0;0,1;0;0;0;57,4;18;240;365;71;NO;NO;4%;SIN SUBSIDIO,,,,,,,
4P 2024 VICUÑA MACKENNA 1194;2024;4P;CENTRO;RM;ÑUÑOA;VICUÑA MACKENNA;1194;-33,4565;-70,62927;DEPARTAMENTO;VICUÑA MACKENNA 1194;STITCHKIN;STITCHKIN;SANTOLAYA;3;INTEGRADA;DUPLEX;01-04-2019;junio-2022;ENTREGADO;EN VENTA;8;0;0;0;1D-1B;2;0,0;-;4,29;-;-;0,0;0,1;0;0;0;69,2;18;240;365;71;NO;SI;4%;SIN SUBSIDIO,,,,,,,
1P 2016 UPTOWN;2016;1P;CENTRO;RM;VITACURA;FERNANDO DE ARGUELLO;7505;-33,3923;-70,55734;DEPARTAMENTO;UPTOWN;IKA CPA;FUENZALIDA;EBCO;1D1B;AMERICANA;DUPLEX;01-04-2015;diciembre-2017;OBRA GRUESA;EN VENTA;9;0;0;0;1D-1B;2;0,0;-;6,24;-;-;0,0;0,8;0;0;0;11,5;10;-;0;0;-;-;0%;SIN SUBSIDIO,,,,,,,
1P 2017 UPTOWN;2017;1P;CENTRO;RM;VITACURA;FERNANDO DE ARGUELLO;7505;-33,3923;-70,55734;DEPARTAMENTO;UPTOWN;IKA CPA;FUENZALIDA;EBCO;1D1B;AMERICANA;DUPLEX;01-04-2015;diciembre-2017;TERMINACIONES;EN VENTA;9;0;0;0;1D-1B;2;0,0;-;6,24;-;-;0,0;0,4;0;0;0;23,4;10;-;0;0;NO;SI;0%;SIN SUBSIDIO,,,,,,,
1P 2018 UPTOWN;2018;1P;CENTRO;RM;VITACURA;FERNANDO DE ARGUELLO;7505;-33,3923;-70,55734;DEPARTAMENTO;UPTOWN;IKA CPA;FUENZALIDA;EBCO;1D1B;AMERICANA;DUPLEX;01-04-2015;abril-2018;ENTREGADO;EN VENTA;9;0;0;0;1D-1B;2;0,0;-;6,24;-;-;0,0;0,2;0;0;0;36,2;10;-;0;0;SI;SI;0%;SIN SUBSIDIO,,,,,,,
2P 2015 UPTOWN;2015;2P;CENTRO;RM;VITACURA;FERNANDO DE ARGUELLO;7505;-33,3923;-70,55734;DEPARTAMENTO;UPTOWN;IKA CPA;FUENZALIDA;EBCO;1D1B;AMERICANA;DUPLEX;01-04-2015;diciembre-2017;INSTALACION DE FAENAS;NUEVO;9;9;0;9;1D-1B;2;6.000,0;51,94;6,24;-;115,5;3,0;3,0;0;6000;6000;3,0;10;-;380;60;-;-;0%;SIN SUBSIDIO,,,,,
