string_field_0,string_field_1,string_field_2,string_field_3,string_field_4,string_field_5,string_field_6,string_field_7,string_field_8,string_field_9,string_field_10,string_field_11,string_field_12,string_field_13,string_field_14
KEY;AÑO;PERIODO;ZONA;REGION;COMUNA_INCOIN;DIRECCION;NUMERO;LONGITUD;LATITUD;TIPO DE PROPIEDAD;PROYECTO;DESARROLLADOR;VENDE;CONSTRUYE;NOMBRE TIPOLOGIA;TIPO DE COCINA;TIPO CATEGORIA;INICIO VENTAS;FECHA ENTREGA ESTIMADA;ESTADO OBRA;ESTADO PROYECTO;STOCK INICIAL;OFERTA DEL PERIODO;OFERTA DISPONIBLE;UNIDADES VENDIDAS;TIPOLOGIA;PLAZAS;PRECIO PROMEDIO;SUPERFICIE PROMEDIO;SUP TERRAZA PROMEDIO;SUPERFICIE TERRENO;UF/M² PROMEDIO;UNIDADES/MES (P);UNIDADES/MES (A);MESES PARA AGOTAR STOCK (A);PRECIO MINIMO UF;PRECIO MAXIMO UF;MESES EN VENTA;NRO. PISOS;CANT ESTACIONAMIENTOS;PRECIO ESTACIONAMIENTO;PRECIO BODEGA;PILOTO DISPONIBLE;SALA DE VENTAS EN EL PROYECTO;DESCUENTO PROMEDIO;TIPO DE SUBSIDIO,,,,,,,,,,,,,,
1P 2019 ÑUÑOA CONNECT;2019;1P;CENTRO;RM;ÑUÑOA;AV. IRARRAZABAL;2731;-33,4545;-70,60267;DEPARTAMENTO;ÑUÑOA CONNECT;FORTALEZA;FORTALEZA;FORTALEZA;1501/1502/1503;KITCHENETTE;DUPLEX;15-11-2017;octubre-2020;OBRA GRUESA;EN VENTA;3;0;0;0;1D-1B;2;4.191,2;42,16;2,54;-;99,4;0,0;0,0;-;4159;4308;15,9;16;137;400;80;NO;SI;3%;SIN SUBSIDIO,,,,,
1P 2020 ÑUÑOA CONNECT;2020;1P;CENTRO;RM;ÑUÑOA;AV. IRARRAZABAL;2731;-33,4545;-70,60267;DEPARTAMENTO;ÑUÑOA CONNECT;FORTALEZA;FORTALEZA;FORTALEZA;1501/1502/1503;KITCHENETTE;DUPLEX;15-11-2017;septiembre-2020;TERMINACIONES;EN VENTA;3;0;0;0;1D-1B;2;4.191,2;42,16;2,54;-;99,4;0,0;0,0;-;4159;4308;28,5;16;137;400;80;NO;SI;3%;SIN SUBSIDIO,,,,,
1P 2021 ÑUÑOA CONNECT;2021;1P;CENTRO;RM;ÑUÑOA;AV. IRARRAZABAL;2731;-33,4545;-70,60267;DEPARTAMENTO;ÑUÑOA CONNECT;FORTALEZA;FORTALEZA;FORTALEZA;1501/1502/1503;KITCHENETTE;DUPLEX;15-11-2017;julio-2021;TERMINACIONES;EN VENTA;3;0;0;0;1D-1B;2;4.168,6;42,16;2,54;-;98,9;0,0;0,0;81;4295;4300;40,7;16;137;380;90;NO;SI;7%;SIN SUBSIDIO,,,,,
1P 2022 ÑUÑOA CONNECT;2022;1P;CENTRO;RM;ÑUÑOA;AV. IRARRAZABAL;2731;-33,4545;-70,60267;DEPARTAMENTO;ÑUÑOA CONNECT;FORTALEZA;FORTALEZA;FORTALEZA;1501/1502/1503;KITCHENETTE;DUPLEX;15-11-2017;julio-2021;ENTREGADO;EN VENTA;3;0;0;0;1D-1B;2;4.320,6;42,16;2,54;-;102,5;0,0;0,0;26;4548;4548;52,9;16;137;420;100;NO;SI;5%;SIN SUBSIDIO,,,,,
1P 2023 ÑUÑOA CONNECT;2023;1P;CENTRO;RM;ÑUÑOA;AV. IRARRAZABAL;2731;-33,4545;-70,60267;DEPARTAMENTO;ÑUÑOA CONNECT;FORTALEZA;FORTALEZA;FORTALEZA;1501/1502/1503;KITCHENETTE;DUPLEX;15-11-2017;julio-2021;ENTREGADO;EN VENTA;3;0;0;1;1D-1B;2;4.332,0;42,16;2,54;-;102,8;0,3;0,0;0;4560;4560;64,9;16;137;380;100;NO;NO;5%;SIN SUBSIDIO,,,,,
2P 2018 ÑUÑOA CONNECT;2018;2P;CENTRO;RM;ÑUÑOA;AV. IRARRAZABAL;2731;-33,4545;-70,60267;DEPARTAMENTO;ÑUÑOA CONNECT;FORTALEZA;FORTALEZA;FORTALEZA;1501/1502/1503;KITCHENETTE;DUPLEX;15-11-2017;junio-2020;INSTALACION DE FAENAS;EN VENTA;3;0;0;0;1D-1B;2;4.257,0;42,16;2,54;-;101,0;0,0;0,0;-;4300;4300;6,7;16;137;400;80;NO;SI;3%;SIN SUBSIDIO,,,,,
2P 2019 ÑUÑOA CONNECT;2019;2P;CENTRO;RM;ÑUÑOA;AV. IRARRAZABAL;2731;-33,4545;-70,60267;DEPARTAMENTO;ÑUÑOA CONNECT;FORTALEZA;FORTALEZA;FORTALEZA;1501/1502/1503;KITCHENETTE;DUPLEX;15-11-2017;octubre-2020;OBRA GRUESA;EN VENTA;3;0;0;0;1D-1B;2;4.191,2;42,16;2,54;-;99,4;0,0;0,0;-;4159;4308;19,1;16;137;400;80;NO;SI;3%;SIN SUBSIDIO,,,,,
2P 2020 ÑUÑOA CONNECT;2020;2P;CENTRO;RM;ÑUÑOA;AV. IRARRAZABAL;2731;-33,4545;-70,60267;DEPARTAMENTO;ÑUÑOA CONNECT;FORTALEZA;FORTALEZA;FORTALEZA;1501/1502/1503;KITCHENETTE;DUPLEX;15-11-2017;diciembre-2020;TERMINACIONES;EN VENTA;3;0;0;0;1D-1B;2;4.284,1;42,16;2,54;-;101,6;0,0;0,0;-;4295;4448;31,7;16;137;400;80;NO;SI;4%;SIN SUBSIDIO,,,,,
2P 2021 ÑUÑOA CONNECT;2021;2P;CENTRO;RM;ÑUÑOA;AV. IRARRAZABAL;2731;-33,4545;-70,60267;DEPARTAMENTO;ÑUÑOA CONNECT;FORTALEZA;FORTALEZA;FORTALEZA;1501/1502/1503;KITCHENETTE;DUPLEX;15-11-2017;julio-2021;TERMINACIONES;EN VENTA;3;0;0;1;1D-1B;2;4.411,6;42,16;2,54;-;104,7;0,3;0,0;22;4548;4548;43,7;16;137;380;90;NO;SI;3%;SIN SUBSIDIO,,,,,
2P 2022 ÑUÑOA CONNECT;2022;2P;CENTRO;RM;ÑUÑOA;AV. IRARRAZABAL;2731;-33,4545;-70,60267;DEPARTAMENTO;ÑUÑOA CONNECT;FORTALEZA;FORTALEZA;FORTALEZA;1501/1502/1503;KITCHENETTE;DUPLEX;15-11-2017;julio-2021;ENTREGADO;EN VENTA;3;0;0;0;1D-1B;2;4.320,6;42,16;2,54;-;102,5;0,0;0,0;28;4548;4548;55,8;16;137;420;100;NO;SI;5%;SIN SUBSIDIO,,,,,
2P 2023 ÑUÑOA CONNECT;2023;2P;CENTRO;RM;ÑUÑOA;AV. IRARRAZABAL;2731;-33,4545;-70,60267;DEPARTAMENTO;ÑUÑOA CONNECT;FORTALEZA;FORTALEZA;FORTALEZA;1501/1502/1503;KITCHENETTE;DUPLEX;15-11-2017;julio-2021;ENTREGADO;EN VENTA;3;0;0;0;1D-1B;2;0,0;-;2,54;-;-;0,0;0,0;0;0;0;68,1;16;137;380;100;NO;SI;5%;SIN SUBSIDIO,,,,,,,
3P 2018 ÑUÑOA CONNECT;2018;3P;CENTRO;RM;ÑUÑOA;AV. IRARRAZABAL;2731;-33,4545;-70,60267;DEPARTAMENTO;ÑUÑOA CONNECT;FORTALEZA;FORTALEZA;FORTALEZA;1501/1502/1503;KITCHENETTE;DUPLEX;15-11-2017;junio-2020;OBRA GRUESA;EN VENTA;3;0;0;0;1D-1B;2;4.183,7;42,16;2,54;-;99,2;0,0;0,0;-;4226;4226;10,0;16;137;400;80;NO;SI;3%;SIN SUBSIDIO,,,,,
3P 2019 ÑUÑOA CONNECT;2019;3P;CENTRO;RM;ÑUÑOA;AV. IRARRAZABAL;2731;-33,4545;-70,60267;DEPARTAMENTO;ÑUÑOA CONNECT;FORTALEZA;FORTALEZA;FORTALEZA;1501/1502/1503;KITCHENETTE;DUPLEX;15-11-2017;septiembre-2020;OBRA GRUESA;EN VENTA;3;0;0;0;1D-1B;2;4.191,2;42,16;2,54;-;99,4;0,0;0,0;-;4159;4308;22,3;16;137;400;80;NO;SI;3%;SIN SUBSIDIO,,,,,
3P 2020 ÑUÑOA CONNECT;2020;3P;CENTRO;RM;ÑUÑOA;AV. IRARRAZABAL;2731;-33,4545;-70,60267;DEPARTAMENTO;ÑUÑOA CONNECT;FORTALEZA;FORTALEZA;FORTALEZA;1501/1502/1503;KITCHENETTE;DUPLEX;15-11-2017;diciembre-2020;TERMINACIONES;EN VENTA;3;0;0;0;1D-1B;2;4.284,1;42,16;2,54;-;101,6;0,0;0,0;-;4295;4448;34,9;16;137;400;80;NO;SI;5%;SIN SUBSIDIO,,,,,
3P 2021 ÑUÑOA CONNECT;2021;3P;CENTRO;RM;ÑUÑOA;AV. IRARRAZABAL;2731;-33,4545;-70,60267;DEPARTAMENTO;ÑUÑOA CONNECT;FORTALEZA;FORTALEZA;FORTALEZA;1501/1502/1503;KITCHENETTE;DUPLEX;15-11-2017;julio-2021;ENTREGADO;EN VENTA;3;0;0;0;1D-1B;2;4.411,6;42,16;2,54;-;104,7;0,0;0,0;23;4548;4548;46,9;16;137;380;90;NO;SI;3%;SIN SUBSIDIO,,,,,
3P 2022 ÑUÑOA CONNECT;2022;3P;CENTRO;RM;ÑUÑOA;AV. IRARRAZABAL;2731;-33,4545;-70,60267;DEPARTAMENTO;ÑUÑOA CONNECT;FORTALEZA;FORTALEZA;FORTALEZA;1501/1502/1503;KITCHENETTE;DUPLEX;15-11-2017;julio-2021;ENTREGADO;EN VENTA;3;0;0;0;1D-1B;2;4.275,0;42,16;2,54;-;101,4;0,0;0,0;30;4500;4500;59,0;16;137;380;100;NO;SI;5%;SIN SUBSIDIO,,,,,
3P 2023 ÑUÑOA CONNECT;2023;3P;CENTRO;RM;ÑUÑOA;AV. IRARRAZABAL;2731;-33,4545;-70,60267;DEPARTAMENTO;ÑUÑOA CONNECT;FORTALEZA;FORTALEZA;FORTALEZA;1501/1502/1503;KITCHENETTE;DUPLEX;15-11-2017;julio-2021;ENTREGADO;VENDIDO;3;0;0;0;1D-1B;2;0,0;-;2,54;-;-;0,0;0,0;0;0;0;71,2;16;137;380;100;NO;NO;5%;SIN SUBSIDIO,,,,,,,
4P 2017 ÑUÑOA CONNECT;2017;4P;CENTRO;RM;ÑUÑOA;AV. IRARRAZABAL;2731;-33,4545;-70,60267;DEPARTAMENTO;ÑUÑOA CONNECT;FORTALEZA;FORTALEZA;FORTALEZA;1501/1502/1503;KITCHENETTE;DUPLEX;15-11-2017;junio-2020;POR CONSTRUIR;NUEVO;3;3;0;0;1D-1B;2;4.300,0;42,16;2,54;-;102,0;0,0;0,0;-;4300;4300;1,0;16;137;400;80;NO;SI;0%;SIN SUBSIDIO,,,,,
4P 2018 ÑUÑOA CONNECT;2018;4P;CENTRO;RM;ÑUÑOA;AV. IRARRAZABAL;2731;-33,4545;-70,60267;DEPARTAMENTO;ÑUÑOA CONNECT;FORTALEZA;FORTALEZA;FORTALEZA;1501/1502/1503;KITCHENETTE;DUPLEX;15-11-2017;junio-2020;OBRA GRUESA;EN VENTA;3;0;0;0;1D-1B;2;4.264,9;42,16;2,54;-;101,2;0,0;0,0;-;4308;4308;13,0;16;137;400;80;NO;SI;3%;SIN SUBSIDIO,,,,,
4P 2019 ÑUÑOA CONNECT;2019;4P;CENTRO;RM;ÑUÑOA;AV. IRARRAZABAL;2731;-33,4545;-70,60267;DEPARTAMENTO;ÑUÑOA CONNECT;FORTALEZA;FORTALEZA;FORTALEZA;1501/1502/1503;KITCHENETTE;DUPLEX;15-11-2017;septiembre-2020;TERMINACIONES;EN VENTA;3;0;0;0;1D-1B;2;4.243,1;42,16;2,54;-;100,7;0,0;0,0;-;4264;4308;25,7;16;137;400;80;NO;SI;3%;SIN SUBSIDIO,,,,,
4P 2020 ÑUÑOA CONNECT;2020;4P;CENTRO;RM;ÑUÑOA;AV. IRARRAZABAL;2731;-33,4545;-70,60267;DEPARTAMENTO;ÑUÑOA CONNECT;FORTALEZA;FORTALEZA;FORTALEZA;1501/1502/1503;KITCHENETTE;DUPLEX;15-11-2017;marzo-2021;TERMINACIONES;EN VENTA;3;0;0;1;1D-1B;2;4.196,2;42,16;2,54;-;99,5;0,3;0,0;76;4294;4448;37,8;16;137;400;80;NO;SI;7%;SIN SUBSIDIO,,,,,
4P 2021 ÑUÑOA CONNECT;2021;4P;CENTRO;RM;ÑUÑOA;AV. IRARRAZABAL;2731;-33,4545;-70,60267;DEPARTAMENTO;ÑUÑOA CONNECT;FORTALEZA;FORTALEZA;FORTALEZA;1501/1502/1503;KITCHENETTE;DUPLEX;15-11-2017;julio-2021;ENTREGADO;EN VENTA;3;0;0;0;1D-1B;2;4.320,6;42,16;2,54;-;102,5;0,0;0,0;25;4548;4548;49,9;16;137;420;100;NO;SI;5%;SIN SUBSIDIO,,,,,
4P 2022 ÑUÑOA CONNECT;2022;4P;CENTRO;RM;ÑUÑOA;AV. IRARRAZABAL;2731;-33,4545;-70,60267;DEPARTAMENTO;ÑUÑOA CONNECT;FORTALEZA;FORTALEZA;FORTALEZA;1501/1502/1503;KITCHENETTE;DUPLEX;15-11-2017;julio-2021;ENTREGADO;EN VENTA;3;0;0;0;1D-1B;2;4.332,0;42,16;2,54;-;102,8;0,0;0,0;31;4560;4560;62,0;16;137;380;100;NO;NO;5%;SIN SUBSIDIO,,,,,
1P 2023 MIDTOWN BY SOHO CORACEROS;2023;1P;CENTRO;V;VIÑA DEL MAR;AVENIDA BENIDORM CON ALESSANDRI;S/N;-33,0076;-71,54709;DEPARTAMENTO;MIDTOWN BY SOHO CORACEROS;PLAYA MANSA;PLAYA MANSA;PLAYA MANSA;B7 DUPLEX;AMERICANA;DUPLEX;01-12-2022;diciembre-2026;POR CONSTRUIR;NUEVO;11;11;0;1;1D-1B;2;6.197,8;52,47;12,94;-;118,1;0,2;0,2;56;6448;6600;5,6;14;-;320;80;NO;NO;5%;SIN SUBSIDIO,,,,,
1P 2024 MIDTOWN BY SOHO CORACEROS;2024;1P;CENTRO;V;VIÑA DEL MAR;AVENIDA BENIDORM CON ALESSANDRI;S/N;-33,0076;-71,54709;DEPARTAMENTO;MIDTOWN BY SOHO CORACEROS;PLAYA MANSA;PLAYA MANSA;PLAYA MANSA;B7 DUPLEX;AMERICANA;DUPLEX;01-12-2022;diciembre-2027;CIERRE DE TERRENO;EN VENTA;11;0;0;0;1D-1B;2;6.080,0;52,47;12,94;-;115,9;0,0;0,1;177;6200;6600;17,7;14;-;320;80;NO;NO;5%;SIN SUBSIDIO,,,,,
1P 2025 MIDTOWN BY SOHO CORACEROS;2025;1P;CENTRO;V;VIÑA DEL MAR;AVENIDA BENIDORM CON ALESSANDRI;S/N;-33,0076;-71,54709;DEPARTAMENTO;MIDTOWN BY SOHO CORACEROS;PLAYA MANSA;PLAYA MANSA;PLAYA MANSA;B7 DUPLEX;AMERICANA;DUPLEX;01-12-2022;diciembre-2027;CIERRE DE TERRENO;EN VENTA;11;0;0;0;1D-1B;2;5.795,0;52,47;12,94;-;110,4;0,0;0,0;299;5900;6300;29,9;14;-;550;120;NO;NO;10%;SIN SUBSIDIO,,,,,
2P 2023 MIDTOWN BY SOHO CORACEROS;2023;2P;CENTRO;V;VIÑA DEL MAR;AVENIDA BENIDORM CON ALESSANDRI;S/N;-33,0076;-71,54709;DEPARTAMENTO;MIDTOWN BY SOHO CORACEROS;PLAYA MANSA;PLAYA MANSA;PLAYA MANSA;B7 DUPLEX;AMERICANA;DUPLEX;01-12-2022;diciembre-2026;POR CONSTRUIR;EN VENTA;11;0;0;0;1D-1B;2;6.080,0;52,47;12,94;-;115,9;0,0;0,1;117;6200;6600;11,7;14;-;320;80;NO;NO;5%;SIN SUBSIDIO,,,,,
2P 2024 MIDTOWN BY SOHO CORACEROS;2024;2P;CENTRO;V;VIÑA DEL MAR;AVENIDA BENIDORM CON ALESSANDRI;S/N;-33,0076;-71,54709;DEPARTAMENTO;MIDTOWN BY SOHO CORACEROS;PLAYA MANSA;PLAYA MANSA;PLAYA MANSA;B7 DUPLEX;AMERICANA;DUPLEX;01-12-2022;diciembre-2027;CIERRE DE TERRENO;EN VENTA;11;0;0;0;1D-1B;2;5.795,0;52,47;12,94;-;110,4;0,0;0,0;238;5900;6300;23,8;14;-;550;120;NO;NO;10%;SIN SUBSIDIO,,,,,
1P 2015 LOFT PLAZA YUNGAY;2015;1P;CENTRO;V;VALPARAISO;ENRIQUE BUDGE;745;-33,0505;-71,62350;DEPARTAMENTO;LOFT PLAZA YUNGAY;ECOLOFT;-;-;LOFT;AMERICANA;DUPLEX;01-05-2015;junio-2016;INSTALACION DE FAENAS;NUEVO;8;8;0;0;1D-1B;2;2.955,0;57,02;14,935;-;51,8;0,0;0,0;-;3000;3230;4,1;7;37;390;80;-;-;0%;SIN SUBSIDIO,,,,,
1P 2016 LOFT PLAZA YUNGAY;2016;1P;CENTRO;V;VALPARAISO;ENRIQUE BUDGE;745;-33,0505;-71,62350;DEPARTAMENTO;LOFT PLAZA YUNGAY;ECOLOFT;-;-;LOFT;AMERICANA;DUPLEX;01-05-2015;junio-2016;OBRA GRUESA;EN VENTA;8;0;0;0;1D-1B;2;3.190,0;57,02;14,935;-;55,9;0,0;0,5;4;3230;3470;12,5;7;37;390;80;-;-;0%;SIN SUBSIDIO,,,,,
1P 2017 LOFT PLAZA YUNGAY;2017;1P;CENTRO;V;VALPARAISO;ENRIQUE BUDGE;745;-33,0505;-71,62350;DEPARTAMENTO;LOFT PLAZA YUNGAY;ECOLOFT;-;-;LOFT;AMERICANA;DUPLEX;01-05-2015;junio-2016;ENTREGADO;EN VENTA;8;0;0;0;1D-1B;2;3.210,7;57,02;14,935;-;56,3;0,0;0,3;4;3470;3470;25,0;7;37;390;80;NO;NO;3%;SIN SUBSIDIO,,,,,
1P 2018 LOFT PLAZA YUNGAY;2018;1P;CENTRO;V;VALPARAISO;ENRIQUE BUDGE;745;-33,0505;-71,62350;DEPARTAMENTO;LOFT PLAZA YUNGAY;ECOLOFT;-;-;LOFT;AMERICANA;DUPLEX;01-05-2015;junio-2016;ENTREGADO;VENDIDO;8;0;0;1;1D-1B;2;3.094,3;57,02;14,935;-;54,3;0,2;0,2;0;3190;3190;37,0;7;37;0;0;NO;NO;3%;SIN SUBSIDIO,,,,,
2P 2015 LOFT PLAZA YUNGAY;2015;2P;CENTRO;V;VALPARAISO;ENRIQUE BUDGE;745;-33,0505;-71,62350;DEPARTAMENTO;LOFT PLAZA YUNGAY;ECOLOFT;-;-;LOFT;AMERICANA;DUPLEX;01-05-2015;junio-2016;OBRA GRUESA;EN VENTA;8;0;0;6;1D-1B;2;2.955,0;57,02;14,935;-;51,8;1,4;0,7;3;3000;3230;8,4;7;37;390;80;-;-;0%;SIN SUBSIDIO,,,,,
2P 2016 LOFT PLAZA YUNGAY;2016;2P;CENTRO;V;VALPARAISO;ENRIQUE BUDGE;745;-33,0505;-71,62350;DEPARTAMENTO;LOFT PLAZA YUNGAY;ECOLOFT;-;-;LOFT;AMERICANA;DUPLEX;01-05-2015;junio-2016;TERMINACIONES;EN VENTA;8;0;0;1;1D-1B;2;3.210,7;57,02;14,935;-;56,3;0,2;0,4;3;3470;3470;18,6;7;37;390;80;-;-;3%;SIN SUBSIDIO,,,,,
2P 2017 LOFT PLAZA YUNGAY;2017;2P;CENTRO;V;VALPARAISO;ENRIQUE BUDGE;745;-33,0505;-71,62350;DEPARTAMENTO;LOFT PLAZA YUNGAY;ECOLOFT;-;-;LOFT;AMERICANA;DUPLEX;01-05-2015;junio-2016;ENTREGADO;EN VENTA;8;0;0;0;1D-1B;2;3.016,7;57,02;14,935;-;52,9;0,0;0,2;4;3270;3270;30,9;7;37;390;80;NO;NO;3%;SIN SUBSIDIO,,,,,
1P 2021 LAS BRISAS DE MACUL;2021;1P;CENTRO;RM;MACUL;LOS PLATANOS;3001;-33,4823;-70,60082;DEPARTAMENTO;LAS BRISAS DE MACUL;GRUPO ARAUCANA;GRUPO ARAUCANA;ECHEVERRIA IZQUIERDO;D2;INTEGRADA;DUPLEX;01-09-2020;diciembre-2023;CIERRE DE TERRENO;EN VENTA;4;0;0;0;1D-1B;2;3.372,5;53,39;20,26;-;63,2;0,0;0,1;20;3400;3700;6,7;17;-;370;65;NO;NO;5%;SIN SUBSIDIO,,,,,
1P 2022 LAS BRISAS DE MACUL;2022;1P;CENTRO;RM;MACUL;LOS PLATANOS;3001;-33,4823;-70,60082;DEPARTAMENTO;LAS BRISAS DE MACUL;GRUPO ARAUCANA;GRUPO ARAUCANA;ECHEVERRIA IZQUIERDO;D2;INTEGRADA;DUPLEX;01-09-2020;diciembre-2023;OBRA GRUESA;EN VENTA;4;0;0;0;1D-1B;2;3.760,0;53,39;20,26;-;70,4;0,0;0,1;56;3600;3920;18,6;17;-;370;65;NO;NO;0%;SIN SUBSIDIO,,,,,
1P 2023 LAS BRISAS DE MACUL;2023;1P;CENTRO;RM;MACUL;LOS PLATANOS;3001;-33,4823;-70,60082;DEPARTAMENTO;LAS BRISAS DE MACUL;GRUPO ARAUCANA;GRUPO ARAUCANA;ECHEVERRIA IZQUIERDO;D2;INTEGRADA;DUPLEX;01-09-2020;junio-2024;OBRA GRUESA;EN VENTA;4;0;0;0;1D-1B;2;4.050,0;53,39;20,26;-;75,9;0,0;0,0;92;3900;4200;30,8;17;-;370;65;NO;NO;0%;SIN SUBSIDIO,,,,,
1P 2024 LAS BRISAS DE MACUL;2024;1P;CENTRO;RM;MACUL;LOS PLATANOS;3001;-33,4823;-70,60082;DEPARTAMENTO;LAS BRISAS DE MACUL;GRUPO ARAUCANA;GRUPO ARAUCANA;ECHEVERRIA IZQUIERDO;D2;INTEGRADA;DUPLEX;01-09-2020;junio-2024;TERMINACIONES;EN VENTA;4;0;0;0;1D-1B;2;4.435,0;53,39;20,26;-;83,1;0,0;0,0;129;4314;4556;42,9;17;-;370;65;NO;NO;0%;SIN SUBSIDIO,,,,,
1P 2025 LAS BRISAS DE MACUL;2025;1P;CENTRO;RM;MACUL;LOS PLATANOS;3001;-33,4823;-70,60082;DEPARTAMENTO;LAS BRISAS DE MACUL;GRUPO ARAUCANA;GRUPO ARAUCANA;ECHEVERRIA IZQUIERDO;D2;INTEGRADA;DUPLEX;01-09-2020;junio-2025;TERMINACIONES;EN VENTA;4;0;0;1;1D-1B;2;4.435,0;53,39;20,26;-;83,1;0,3;0,0;55;4314;4556;55,3;17;-;370;65;NO;NO;0%;SIN SUBSIDIO,,,,,
2P 2021 LAS BRISAS DE MACUL;2021;2P;CENTRO;RM;MACUL;LOS PLATANOS;3001;-33,4823;-70,60082;DEPARTAMENTO;LAS BRISAS DE MACUL;GRUPO ARAUCANA;GRUPO ARAUCANA;ECHEVERRIA IZQUIERDO;D2;INTEGRADA;DUPLEX;01-09-2020;diciembre-2023;CIERRE DE TERRENO;EN VENTA;4;0;0;0;1D-1B;2;3.372,5;53,39;20,26;-;63,2;0,0;0,1;29;3400;3700;9,8;17;-;370;65;NO;NO;5%;SIN SUBSIDIO,,,,,
2P 2022 LAS BRISAS DE MACUL;2022;2P;CENTRO;RM;MACUL;LOS PLATANOS;3001;-33,4823;-70,60082;DEPARTAMENTO;LAS BRISAS DE MACUL;GRUPO ARAUCANA;GRUPO ARAUCANA;ECHEVERRIA IZQUIERDO;D2;INTEGRADA;DUPLEX;01-09-2020;diciembre-2023;OBRA GRUESA;EN VENTA;4;0;0;0;1D-1B;2;3.760,0;53,39;20,26;-;70,4;0,0;0,0;65;3600;3920;21,7;17;-;370;65;NO;NO;0%;SIN SUBSIDIO,,,,,
2P 2023 LAS BRISAS DE MACUL;2023;2P;CENTRO;RM;MACUL;LOS PLATANOS;3001;-33,4823;-70,60082;DEPARTAMENTO;LAS BRISAS DE MACUL;GRUPO ARAUCANA;GRUPO ARAUCANA;ECHEVERRIA IZQUIERDO;D2;INTEGRADA;DUPLEX;01-09-2020;junio-2024;OBRA GRUESA;EN VENTA;4;0;0;0;1D-1B;2;4.100,0;53,39;20,26;-;76,8;0,0;0,0;101;4000;4200;33,8;17;-;370;65;NO;NO;0%;SIN SUBSIDIO,,,,,
2P 2024 LAS BRISAS DE MACUL;2024;2P;CENTRO;RM;MACUL;LOS PLATANOS;3001;-33,4823;-70,60082;DEPARTAMENTO;LAS BRISAS DE MACUL;GRUPO ARAUCANA;GRUPO ARAUCANA;ECHEVERRIA IZQUIERDO;D2;INTEGRADA;DUPLEX;01-09-2020;junio-2025;TERMINACIONES;EN VENTA;4;0;0;0;1D-1B;2;4.435,0;53,39;20,26;-;83,1;0,0;0,0;139;4314;4556;46,2;17;-;370;65;NO;NO;0%;SIN SUBSIDIO,,,,,
2P 2025 LAS BRISAS DE MACUL;2025;2P;CENTRO;RM;MACUL;LOS PLATANOS;3001;-33,4823;-70,60082;DEPARTAMENTO;LAS BRISAS DE MACUL;GRUPO ARAUCANA;GRUPO ARAUCANA;ECHEVERRIA IZQUIERDO;D2;INTEGRADA;DUPLEX;01-09-2020;julio-2025;TERMINACIONES;EN VENTA;4;0;0;0;1D-1B;2;4.435,0;53,39;20,26;-;83,1;0,0;0,0;58;4314;4556;58,3;17;-;370;65;NO;NO;0%;SIN SUBSIDIO,,,,,
3P 2020 LAS BRISAS DE MACUL;2020;3P;CENTRO;RM;MACUL;LOS PLATANOS;3001;-33,4823;-70,60082;DEPARTAMENTO;LAS BRISAS DE MACUL;GRUPO ARAUCANA;GRUPO ARAUCANA;ECHEVERRIA IZQUIERDO;D2;INTEGRADA;DUPLEX;01-09-2020;diciembre-2023;POR CONSTRUIR;NUEVO;4;4;0;0;1D-1B;2;3.372,5;53,39;20,26;-;63,2;0,0;0,0;-;3400;3700;1,0;17;-;370;65;NO;NO;5%;SIN SUBSIDIO,,,,,
3P 2021 LAS BRISAS DE MACUL;2021;3P;CENTRO;RM;MACUL;LOS PLATANOS;3001;-33,4823;-70,60082;DEPARTAMENTO;LAS BRISAS DE MACUL;GRUPO ARAUCANA;GRUPO ARAUCANA;ECHEVERRIA IZQUIERDO;D2;INTEGRADA;DUPLEX;01-09-2020;diciembre-2023;OBRA GRUESA;EN VENTA;4;0;0;0;1D-1B;2;3.650,0;53,39;20,26;-;68,4;0,0;0,1;37;3500;3800;12,5;17;-;370;65;NO;NO;0%;SIN SUBSIDIO,,,,,
3P 2022 LAS BRISAS DE MACUL;2022;3P;CENTRO;RM;MACUL;LOS PLATANOS;3001;-33,4823;-70,60082;DEPARTAMENTO;LAS BRISAS DE MACUL;GRUPO ARAUCANA;GRUPO ARAUCANA;ECHEVERRIA IZQUIERDO;D2;INTEGRADA;DUPLEX;01-09-2020;junio-2024;OBRA GRUESA;EN VENTA;4;0;0;0;1D-1B;2;3.925,0;53,39;20,26;-;73,5;0,0;0,0;74;3750;4100;24,7;17;-;370;65;NO;NO;0%;SIN SUBSIDIO,,,,,
3P 2023 LAS BRISAS DE MACUL;2023;3P;CENTRO;RM;MACUL;LOS PLATANOS;3001;-33,4823;-70,60082;DEPARTAMENTO;LAS BRISAS DE MACUL;GRUPO ARAUCANA;GRUPO ARAUCANA;ECHEVERRIA IZQUIERDO;D2;INTEGRADA;DUPLEX;01-09-2020;junio-2024;OBRA GRUESA;EN VENTA;4;0;0;0;1D-1B;2;4.225,0;53,39;20,26;-;79,1;0,0;0,0;111;4100;4350;36,9;17;-;370;65;NO;NO;0%;SIN SUBSIDIO,,,,,
